District,Building name,Last date of visit of the case(s),Related cases
Tuen Mun,"Block 3, Kam Fai Garden",22/07/2022,
Tuen Mun,"Tower 7, Phase 2, Hong Kong Gold Coast",22/07/2022,
Tuen Mun,"Block 8, Fortune Villa",22/07/2022,
Tuen Mun,"Block 10, Unicorn Garden",22/07/2022,
Tuen Mun,"Hong Lung House, Lung Yat Estate",22/07/2022,
Tuen Mun,"Block 11, Lung Mun Oasis",22/07/2022,
Tuen Mun,Lung Kwu Tan Pak Long,22/07/2022,
Tuen Mun,"Tower 6A, Lepont",21/07/2022,
Tuen Mun,"Block B, Grandeur Gardens",21/07/2022,
Tuen Mun,"Ting Pong House, Siu On Court",21/07/2022,
Tuen Mun,"Kwai King House, Siu Shan Court",21/07/2022,
Tuen Mun,"Siu Chun House, Siu Hong Court",21/07/2022,
Tuen Mun,"Siu Wing House, Siu Hong Court",21/07/2022,
Tuen Mun,"Siu Yin house, Siu Hong Court",21/07/2022,
Tuen Mun,"Block 2, Nerine Cove",21/07/2022,
Tuen Mun,Co-Tack Industrial Building,21/07/2022,
Tuen Mun,Kai Hei Land Building,21/07/2022,
Tuen Mun,"Block E, Junior Staff Married Quarters, Tai Lam Correctional Institution",21/07/2022,
Tuen Mun,Tai Lam Chung Tsuen,21/07/2022,
Tuen Mun,"Ting Fuk House, On Ting Estate",21/07/2022,
Tuen Mun,Full Park,21/07/2022,
Tuen Mun,"Mei Tai House, Fu Tai Estate",21/07/2022,
Tuen Mun,"Block 7, Po Tin Estate",21/07/2022,
Tuen Mun,Siu Sau Village,21/07/2022,
Tuen Mun,"Block 6, Tuen Mun Town Plaza",21/07/2022,
Tuen Mun,"Tower 2, Tuen Mun Wu Hong Police Quarters",21/07/2022,
Tuen Mun,"Yue Sang House, Kin Sang Estate",21/07/2022,
Tuen Mun,"Tower 2B, Mount Regency",21/07/2022,
Tuen Mun,"Block 1, Elegance Garden",21/07/2022,
Tuen Mun,"Block 1, E Lu",21/07/2022,
Tuen Mun,"Block 4, Hanford Garden",21/07/2022,
Tuen Mun,"Block 7, Hanford Garden",21/07/2022,
Tuen Mun,"Block 10, Yuet Wu Villa",21/07/2022,
Tuen Mun,"San Woon House, San Wai Court",21/07/2022,
Tuen Mun,"Block 1, Sun Tuen Mun Centre",21/07/2022,
Tuen Mun,"Block D, Samui Village",21/07/2022,
Tuen Mun,Yeung Siu Hang Tsuen,21/07/2022,
Tuen Mun,"Luk Tin House, Yan Tin Estate",21/07/2022,
Tuen Mun,Nai Wai,21/07/2022,
Tuen Mun,"Block 5, Seaview Garden",21/07/2022,
Tuen Mun,Pierhead Garden,21/07/2022,
Tuen Mun,"Wu Tsui House, Wu King Estate",21/07/2022,
Tuen Mun,"Tower 2, Goodrich Garden",21/07/2022,
Tuen Mun,Fuk Hang Tsuen,21/07/2022,
Tuen Mun,"Block 1, Verdant Villa",21/07/2022,
Tuen Mun,"Block 5, Beneville",21/07/2022,
Tuen Mun,Lingrade Garden,21/07/2022,
Tuen Mun,"Block 5, The Sherwood",21/07/2022,
Tuen Mun,"Block 9, The Sherwood",21/07/2022,
Tuen Mun,Tsing Shan Tsuen,21/07/2022,
Tuen Mun,"Block 1, Hong Kong Gold Coast",21/07/2022,
Tuen Mun,"Block 6, Hong Kong Gold Coast",21/07/2022,
Tuen Mun,"Block 7, Hong Kong Gold Coast",21/07/2022,
Tuen Mun,"Block 12, Lung Mun Oasis",21/07/2022,
Tuen Mun,"Block 1, Lung Mun Oasis",21/07/2022,
Tuen Mun,"Block 4, Lung Mun Oasis",21/07/2022,
Tuen Mun,"Tower 2A, Oma Oma",20/07/2022,
Tuen Mun,Yick Lee Building,20/07/2022,
Tuen Mun,"Tsui Lun House, Siu Lun Court",20/07/2022,
Tuen Mun,"Yiu Lun House, Siu Lun Court",20/07/2022,
Tuen Mun,"Wah Lun House, Siu Lun Court",20/07/2022,
Tuen Mun,Pak Long Tsuen,20/07/2022,
Tuen Mun,Nam Kwong Building,20/07/2022,
Tuen Mun,"Block 1, Nerine Cove",20/07/2022,
Tuen Mun,"Oi Chi House, Yau Oi Estate",20/07/2022,
Tuen Mun,Napa Valley,20/07/2022,
Tuen Mun,"Block 3, Richland Garden",20/07/2022,
Tuen Mun,Ka Choi Lane,20/07/2022,
Tuen Mun,Rich Building,20/07/2022,
Tuen Mun,"Yat Tai House, Fu Tai Estate",20/07/2022,
Tuen Mun,Florence Mansion,20/07/2022,
Tuen Mun,"Block 8, Po Tin Estate",20/07/2022,
Tuen Mun,"Block 7, Tuen Mun Town Plaza",20/07/2022,
Tuen Mun,Tuen Mun Court,20/07/2022,
Tuen Mun,"Phase 3, Hang Fook Building",20/07/2022,
Tuen Mun,"Block 2, Elegance Garden",20/07/2022,
Tuen Mun,"Block 2, Handsome Court",20/07/2022,
Tuen Mun,"Block 6, Yuet Wu Villa",20/07/2022,
Tuen Mun,So Kwun Wat Tsuen,20/07/2022,
Tuen Mun,"Block 5, Sun Tuen Mun Centre",20/07/2022,
Tuen Mun,"Tower 1, Prime View Garden",20/07/2022,
Tuen Mun,Top Court,20/07/2022,
Tuen Mun,"Block 6, Grand Pacific Views",20/07/2022,
Tuen Mun,"Tower 2, Pierhead Garden",20/07/2022,
Tuen Mun,"Pacific House, Affluence Garden",20/07/2022,
Tuen Mun,"Opulent House, Affluence Garden",20/07/2022,
Tuen Mun,"Block 2, Melody Garden",20/07/2022,
Tuen Mun,Wu Uk Tsuen,20/07/2022,
Tuen Mun,"Tower 1, Miami Beach Towers",20/07/2022,
Tuen Mun,Kam Tsz Villa,20/07/2022,
Tuen Mun,Elite Garden,20/07/2022,
Tuen Mun,"Block 16, Hong Kong Gold Coast",20/07/2022,
Tuen Mun,"Tower 5, Napa",19/07/2022,
Tuen Mun,"Tower 3B, Lepont",19/07/2022,
Tuen Mun,"Min King House, Siu Shan Court",19/07/2022,
Tuen Mun,"Siu Kei House, Siu Hong Court",19/07/2022,
Tuen Mun,"Siu Tai House, Siu Hong Court",19/07/2022,
Tuen Mun,"Block 1, Alpine Garden",19/07/2022,
Tuen Mun,House on Ka Choi Lane,19/07/2022,
Tuen Mun,Victory Building,19/07/2022,
Tuen Mun,"Block 6, Glorious Garden",19/07/2022,
Tuen Mun,"Block 4, Po Tin Estate",19/07/2022,
Tuen Mun,"Block 2, Palatial Coast",19/07/2022,
Tuen Mun,"Block 14, Yuet Wu Villa",19/07/2022,
Tuen Mun,San Kiu,19/07/2022,
Tuen Mun,"Block A, New Town Mansion",19/07/2022,
Tuen Mun,"Tower 2, Avignon",19/07/2022,
Tuen Mun,"Tower 5, Prime View Garden",19/07/2022,
Tuen Mun,"Yat Tin House, Yan Tin Estate",19/07/2022,
Tuen Mun,Jade View Villa,19/07/2022,
Tuen Mun,"Block 2, Beneville",19/07/2022,
Tuen Mun,Shun Lee Mansion,19/07/2022,
Tuen Mun,"Tower 1, JC Place",19/07/2022,
Tuen Mun,"Block 15, Lung Mun Oasis",19/07/2022,
Tuen Mun,"Block 8, Lung Mun Oasis",19/07/2022,
Tuen Mun,"North Wing, 2Gether",19/07/2022,
Tuen Mun,Yick Yuen Tsuen,18/07/2022,
Tuen Mun,"Block C, Grandeur Gardens",18/07/2022,
Tuen Mun,"Siu Kit House, Siu Hong Court",18/07/2022,
Tuen Mun,"Block 2, Alpine Garden",18/07/2022,
Tuen Mun,Lee Bo Building,18/07/2022,
Tuen Mun,"Block A, Junior Staff Married Quarters, Tai Lam Correctional Institution",18/07/2022,
Tuen Mun,"Block 3, Phase 1, Tai Hing Gardens",18/07/2022,
Tuen Mun,"Hing Wai House, Tai Hing Estate",18/07/2022,
Tuen Mun,"Block 2, Glorious Garden",18/07/2022,
Tuen Mun,"Kwan Tai House, Fu Tai Estate",18/07/2022,
Tuen Mun,"Block 1, Blossom Garden",18/07/2022,
Tuen Mun,"Block 9, Po Tin Estate",18/07/2022,
Tuen Mun,"Block 3, Marina Garden",18/07/2022,
Tuen Mun,Yuk Fai Court,18/07/2022,
Tuen Mun,"Block 1, Seaview Garden",18/07/2022,
Tuen Mun,"Block 1, Peridot Court",18/07/2022,
Tuen Mun,Tsz Tin Tsuen,18/07/2022,
Tuen Mun,"Block 1, Bauhinia Garden",18/07/2022,
Tuen Mun,"Block 2, Bauhinia Garden",18/07/2022,
Tuen Mun,"Lok Chun Yuen, Chi Lok Fa Yuen",18/07/2022,
Tuen Mun,Lam Tei San Tsuen,18/07/2022,
Tuen Mun,"Block 10, The Sherwood",18/07/2022,
Tuen Mun,"Block 1, The Sherwood",18/07/2022,
Tuen Mun,293 Shun Tat Street,18/07/2022,
Tuen Mun,Lai Bo Building,18/07/2022,
Tuen Mun,"Block 14, Lung Mun Oasis",18/07/2022,
Tuen Mun,"Block 2, Lung Mun Oasis",18/07/2022,
Tuen Mun,"Tower 1B, Lepont",17/07/2022,
Tuen Mun,Grandeur Garden,17/07/2022,
Tuen Mun,"Ting Hoi House, Siu On Court",17/07/2022,
Tuen Mun,"Siu Wai House, Siu Hong Court",17/07/2022,
Tuen Mun,Lakeshore Building,17/07/2022,
Tuen Mun,Coo Residence,17/07/2022,
Tuen Mun,"Block 5, Tuen Mun Town Plaza",17/07/2022,
Tuen Mun,Pentahotel Hong Kong Tuen Mun,17/07/2022,
Tuen Mun,"Block 8, Palatial Coast",17/07/2022,
Tuen Mun,"Block C, Hing Fook Building",17/07/2022,
Tuen Mun,"Block 8, Handsome Court",17/07/2022,
Tuen Mun,"Block 1, Yuet Wu Villa",17/07/2022,
Tuen Mun,"Tower 2, Aegean Coast",17/07/2022,
Tuen Mun,"Tower 3, Aegean Coast",17/07/2022,
Tuen Mun,Cenfa Villa,17/07/2022,
Tuen Mun,San Hing Tsuen,17/07/2022,
Tuen Mun,Forever Garden,17/07/2022,
Tuen Mun,"Block 8, Seaview Garden",17/07/2022,
Tuen Mun,Dragon Oasis,17/07/2022,
Tuen Mun,"Block 1, Ebony, The Hillgrove",17/07/2022,
Tuen Mun,Eight Regency,17/07/2022,
Tuen Mun,"Lok Lai Yuen, Chi Lok Fa Yuen",17/07/2022,
Tuen Mun,"Block 2, Tsui Ning Garden",17/07/2022,
Tuen Mun,"Tower 6, Palm Cove",17/07/2022,
Tuen Mun,Lam Tei Main Street,17/07/2022,
Tuen Mun,"Tower 4, Miami Beach Towers",17/07/2022,
Tuen Mun,Kam Men Mansion,17/07/2022,
Tuen Mun,Kam Fat Building,17/07/2022,
Tuen Mun,"Tower 4, Tsing Yung Terrace",17/07/2022,
Tuen Mun,"Block 18, Hong Kong Gold Coast",17/07/2022,
Tuen Mun,"Block 3, 18 Rosewood",16/07/2022,
Tuen Mun,"Tower 1, The Carmel",16/07/2022,
Tuen Mun,"Tower 5A, Lepont",16/07/2022,
Tuen Mun,"Block A, Grandeur Gardens",16/07/2022,
Tuen Mun,"Ting Yau House, Siu On Court",16/07/2022,
Tuen Mun,"Shun Hei House, Siu Hei Court",16/07/2022,
Tuen Mun,Ka Fuk Lane,16/07/2022,
Tuen Mun,"Block 4, Phase 1, Tai Hing Gardens",16/07/2022,
Tuen Mun,Lucky Building,16/07/2022,
Tuen Mun,"Block 8, Glorious Garden",16/07/2022,
Tuen Mun,Po Tong Ha,16/07/2022,
Tuen Mun,Po Wah Garden,16/07/2022,
Tuen Mun,Siu Lam Tsuen,16/07/2022,
Tuen Mun,"Block C, Rainbow Garden",16/07/2022,
Tuen Mun,"Tower 1B, Mount Regency",16/07/2022,
Tuen Mun,"Tower 5, Aegean Coast",16/07/2022,
Tuen Mun,"Block H, CSD Married Staff Quarters",16/07/2022,
Tuen Mun,"Block 3, Kingston Terrace",16/07/2022,
Tuen Mun,"Block 2, Aquamarine Garden",16/07/2022,
Tuen Mun,"Tower 5, Pierhead Garden",16/07/2022,
Tuen Mun,"Block 4, Peridot Court",16/07/2022,
Tuen Mun,"Block C, Greenland Garden",16/07/2022,
Tuen Mun,T Plus,16/07/2022,
Tuen Mun,Wah Lok Mansion,16/07/2022,
Tuen Mun,Lam Tei,16/07/2022,
Tuen Mun,Orchid Court,16/07/2022,
Tuen Mun,"Block 8, Yonking Garden",16/07/2022,
Tuen Mun,"Block 8A, Castle Peak Government Quarters",16/07/2022,
Tuen Mun,"Block A, Castle Peak Bay Garden",16/07/2022,
Tuen Mun,Hong Kong Student Aid Society Tung Wan Mok Law Shui Wah School Island Hostel,16/07/2022,
Tuen Mun,"Block 10, Lung Mun Oasis",16/07/2022,
Tuen Mun,"Block 13, Lung Mun Oasis",16/07/2022,
Tuen Mun,Wai Cheung Industrial Centre,15/07/2022,
Tuen Mun,"Tao King House, Siu Shan Court",15/07/2022,
Tuen Mun,"Block 6, Chelsea Heights",15/07/2022,
Tuen Mun,"Block 5, Parkland Villas",15/07/2022,
Tuen Mun,"Block 9, Parkland Villas",15/07/2022,
Tuen Mun,"Block 12, Glorious Garden",15/07/2022,
Tuen Mun,"Block 3, Blossom Garden",15/07/2022,
Tuen Mun,Siu Lam CSD Staff Quarters,15/07/2022,
Tuen Mun,"Block C, Trend Plaza",15/07/2022,
Tuen Mun,"Block E, Trend Plaza",15/07/2022,
Tuen Mun,"Block A, Brilliant Garden",15/07/2022,
Tuen Mun,Hotel Cozi. Resort,15/07/2022,
Tuen Mun,"Block 9, Yuet Wu Villa",15/07/2022,
Tuen Mun,House at The Aegean,15/07/2022,
Tuen Mun,"San Shun House, San Wai Court",15/07/2022,
Tuen Mun,"Block 2, Kingston Terrace",15/07/2022,
Tuen Mun,"Block 12, The Sherwood",15/07/2022,
Tuen Mun,"Block 2, Kam Fai Garden",15/07/2022,
Tuen Mun,"Block 1, Eldo Court",15/07/2022,
Tuen Mun,"Tower 21, Hong Kong Gold Coast",15/07/2022,
Tuen Mun,"Block 8, Hong Kong Gold Coast",15/07/2022,
Tuen Mun,"Block 1, Fortune Villa",15/07/2022,
Tuen Mun,"Kin King House, Siu Shan Court",14/07/2022,
Tuen Mun,"Siu Cheong House, Siu Hong Court",14/07/2022,
Tuen Mun,Mo Boon Building,14/07/2022,
Tuen Mun,Pak Long,14/07/2022,
Tuen Mun,Wo Ping San Tsuen,14/07/2022,
Tuen Mun,"Block 4, Richland Garden",14/07/2022,
Tuen Mun,The Parkville,14/07/2022,
Tuen Mun,"Block 1, Po Tin Estate",14/07/2022,
Tuen Mun,"Block A, Trend Plaza",14/07/2022,
Tuen Mun,Hotel Cozi Resort,14/07/2022,
Tuen Mun,Emerald Court,14/07/2022,
Tuen Mun,"Block A, Greenland Garden",14/07/2022,
Tuen Mun,"Block 4, Kam Fai Garden",14/07/2022,
Tuen Mun,"Block 17, Hong Kong Gold Coast",14/07/2022,
Tuen Mun,"Block 32, Unicorn Garden",14/07/2022,
Tuen Mun,"Tower 2, J C Place",14/07/2022,
Tuen Mun,"Block F5, Pearl Island Villas",14/07/2022,
Tuen Mun,Po Tong Ha Tsuen,13/07/2022,
Tuen Mun,"Block 3, Tuen Mun Town Plaza",13/07/2022,
Tuen Mun,"Block 7, Aqua Blue",13/07/2022,
Tuen Mun,"Tower 6, Pierhead Garden",13/07/2022,
Tuen Mun,"Block 1, Alder, The Hillgrove",13/07/2022,
Tuen Mun,"Block 1, Botania Villa",13/07/2022,
Tuen Mun,"Block 9, Botania Villa",13/07/2022,
Tuen Mun,"Block 5, Chi Lok Fa Yuen",13/07/2022,
Tuen Mun,"Lok Yee Yuen, Chi Lok Fa Yuen",13/07/2022,
Tuen Mun,"Block 2, Verdant Villa",13/07/2022,
Tuen Mun,"Tower 3, Miami Beach Towers",13/07/2022,
Tuen Mun,Kim Bo Building,13/07/2022,
Tuen Mun,"Siu Ho House, Siu Hong Court",12/07/2022,
Tuen Mun,"Block B, Rainbow Garden",12/07/2022,
Tuen Mun,"Block 2, Villa Tiara",12/07/2022,
Tuen Mun,"Block 5, Handsome Court",12/07/2022,
Tuen Mun,"San Bik House, San Wai Court",12/07/2022,
Tuen Mun,"Block C, Nice Year Garden",12/07/2022,
Tuen Mun,"Tower 6, The Laguna, The Bloomsway",12/07/2022,
Tuen Mun,"Block 5, Alder, The Hillgrove",12/07/2022,
Tuen Mun,"Block A, Lingrade Garden",12/07/2022,
Tuen Mun,"Block 2, Eldo Court",12/07/2022,
Tuen Mun,"Block 4, Hong Kong Gold Coast",12/07/2022,
Tuen Mun,"Block 3, Hoi Tak Gardens",11/07/2022,
Tuen Mun,"Block 2, Nan Fung Industrial City",11/07/2022,
Tuen Mun,"Block 6, Phase 2, Tai Hing Gardens",11/07/2022,
Tuen Mun,"Block 5, Hanford Garden",11/07/2022,
Tuen Mun,"Tower 1, Avignon",11/07/2022,
Tuen Mun,"Tower 2, Palm Beach",11/07/2022,
Tuen Mun,"Tower 3, Century Gateway",11/07/2022,
Tuen Mun,"Block 6, Bauhinia Garden",11/07/2022,
Tuen Mun,"Block 1, Melody Garden",11/07/2022,
Tuen Mun,Fu Tei,11/07/2022,
Tuen Mun,"Block 10, Fortune Villa",11/07/2022,
Tuen Mun,Wong Ka Wai,11/07/2022,
Wan Chai,Star Studios II,24/07/2022,
Wan Chai,The Mercury,24/07/2022,
Wan Chai,Opus Hong Kong,24/07/2022,
Wan Chai,Kiu Hing Mansion,24/07/2022,
Wan Chai,Silvervale Mansion,24/07/2022,
Wan Chai,"Block 1, Illumination Terrace",24/07/2022,
Wan Chai,Glory House,24/07/2022,
Wan Chai,Triumph Court,24/07/2022,
Wan Chai,"Lai Kit Lau, Lai Tak Tsuen",24/07/2022,
Wan Chai,"Block B, Greenville Gardens",24/07/2022,
Wan Chai,"Block B, Tai Hang Terrace",24/07/2022,
Wan Chai,58 Tin Hau Temple Road,24/07/2022,
Wan Chai,Yik Yam Mansion,24/07/2022,
Wan Chai,Po Wing Building,24/07/2022,
Wan Chai,The Zenith,24/07/2022,
Wan Chai,17A Haven Street,24/07/2022,
Wan Chai,Prime Mansion,24/07/2022,
Wan Chai,Tak Wah Building,24/07/2022,
Wan Chai,Happy Mansion,24/07/2022,
Wan Chai,Yue On Mansion,24/07/2022,
Wan Chai,Yuk Yat Building,24/07/2022,
Wan Chai,23 King Kwong Street,24/07/2022,
Wan Chai,Kingsford Garden,24/07/2022,
Wan Chai,Highcliff,24/07/2022,
Wan Chai,"Block C, Evergreen Villa",24/07/2022,
Wan Chai,"Tower 5, The Pavilia Hill",24/07/2022,
Wan Chai,Lucky House,24/07/2022,
Wan Chai,"Block B, Beverly Hill",24/07/2022,
Wan Chai,1-4 Briar Avenue,24/07/2022,
Wan Chai,Winway Court,24/07/2022,
Wan Chai,"Block 1, Wing On Towers",24/07/2022,
Wan Chai,Winfield Gardens,24/07/2022,
Wan Chai,Wing Tak Mansion,24/07/2022,
Wan Chai,"Block 2, Greenway Terrace",24/07/2022,
Wan Chai,"Block 1, Greenway Terrace",24/07/2022,
Wan Chai,Vancouver Mansion,24/07/2022,
Wan Chai,"Block B, Causeway Centre",24/07/2022,
Wan Chai,Pearl City Mansion,24/07/2022,
Wan Chai,Fook Hing Court,24/07/2022,
Wan Chai,Lei Ha Court,24/07/2022,
Wan Chai,The Hemispheres,24/07/2022,
Wan Chai,Green Valley Mansion,24/07/2022,
Wan Chai,Sze Lai Building,24/07/2022,
Wan Chai,Fontana Gardens,24/07/2022,
Wan Chai,Golden Court,24/07/2022,
Wan Chai,Hong Kong Building,24/07/2022,
Wan Chai,The Unit Serviced Apartments,23/07/2022,
Wan Chai,20 King Street,23/07/2022,
Wan Chai,Chuen Fung Building,23/07/2022,
Wan Chai,Top View Mansion,23/07/2022,
Wan Chai,The Charterhouse,23/07/2022,
Wan Chai,Shing Wah Mansion,23/07/2022,
Wan Chai,"Block D, Greenville Gardens",23/07/2022,
Wan Chai,"Block 2, Cavendish Heights",23/07/2022,
Wan Chai,"Tower 2, The Avenue",23/07/2022,
Wan Chai,Tai Hang Terrace,23/07/2022,
Wan Chai,Sports Mansion,23/07/2022,
Wan Chai,Wang Gee Mansion,23/07/2022,
Wan Chai,Portfield Building,23/07/2022,
Wan Chai,The Gloucester,23/07/2022,
Wan Chai,"Block 3, The Zenith",23/07/2022,
Wan Chai,Mayfair Court,23/07/2022,
Wan Chai,Man Yuen Garden,23/07/2022,
Wan Chai,Li Chit Garden,23/07/2022,
Wan Chai,"Tower 3, The Pavilia Hill",23/07/2022,
Wan Chai,Pioneer Court,23/07/2022,
Wan Chai,"Block B, Villa Lotto",23/07/2022,
Wan Chai,Gordon House,23/07/2022,
Wan Chai,Percival House,23/07/2022,
Wan Chai,Bay View Mansion,23/07/2022,
Wan Chai,"Block B, Hay Wah Building",23/07/2022,
Wan Chai,92-94 Queen's Road East,23/07/2022,
Wan Chai,"Tower 1, The Leighton Hill",23/07/2022,
Wan Chai,Wai Cheong Building,23/07/2022,
Wan Chai,Malahon Apartments,23/07/2022,
Wan Chai,"Block H, Malahon Apartments",23/07/2022,
Wan Chai,Tsui Man Court,23/07/2022,
Wan Chai,Shining Building,23/07/2022,
Wan Chai,Hing Wong Court,23/07/2022,
Wan Chai,4 Hawthorn Road,23/07/2022,
Wan Chai,Great George Building,23/07/2022,
Wan Chai,"Tower 2, Broom Garden",23/07/2022,
Wan Chai,4 Wilson Road,23/07/2022,
Wan Chai,Hennessy Apartments,23/07/2022,
Wan Chai,"Block A, San Francisco Towers",23/07/2022,
Wan Chai,Ngan Tao Building,23/07/2022,
Wan Chai,Ascot Mansion,23/07/2022,
Wan Chai,Ventris Place,23/07/2022,
Wan Chai,5 Sharp Street East,23/07/2022,
Wan Chai,"Block 2, Phoenix Court",23/07/2022,
Wan Chai,Cameron Lodge,22/07/2022,
Wan Chai,Siu On Mansion,22/07/2022,
Wan Chai,Lee Shun Building,22/07/2022,
Wan Chai,"Tak Chuen Lau, Lai Tak Tsuen",22/07/2022,
Wan Chai,"Tsuen Wing Lau, Lai Tak Tsuen",22/07/2022,
Wan Chai,Cathay Garden,22/07/2022,
Wan Chai,"Tower 5, The Avenue",22/07/2022,
Wan Chai,Po Foo Building,22/07/2022,
Wan Chai,"Block 1, The Zenith",22/07/2022,
Wan Chai,7 Village Terrace,22/07/2022,
Wan Chai,Tak On Mansion,22/07/2022,
Wan Chai,Diamond Building,22/07/2022,
Wan Chai,"Block B, Elm Tree Towers",22/07/2022,
Wan Chai,Yue King Building,22/07/2022,
Wan Chai,"Block 1, Flora Garden",22/07/2022,
Wan Chai,Sun Ying Mansion,22/07/2022,
Wan Chai,6 Shing Ping Street,22/07/2022,
Wan Chai,"Tower 1, Starcrest",22/07/2022,
Wan Chai,"Block A, Evergreen Villa",22/07/2022,
Wan Chai,The Park Lane Hong Kong,22/07/2022,
Wan Chai,Butler Towers,22/07/2022,
Wan Chai,Broadville,22/07/2022,
Wan Chai,"Block D, Villa Lotto",22/07/2022,
Wan Chai,"Block F, Beverly Hill",22/07/2022,
Wan Chai,"Block J, Beverly Hill",22/07/2022,
Wan Chai,Hoi Deen Court,22/07/2022,
Wan Chai,Hoi To Court,22/07/2022,
Wan Chai,Moon Fair Mansion,22/07/2022,
Wan Chai,"Block A, Hay Wah Building",22/07/2022,
Wan Chai,Coral Court,22/07/2022,
Wan Chai,Fortune Building,22/07/2022,
Wan Chai,Bamboo Grove,22/07/2022,
Wan Chai,The Altitude,22/07/2022,
Wan Chai,"Block A, Viking Garden",22/07/2022,
Wan Chai,"Block East, Miramar Villa",22/07/2022,
Wan Chai,Green Villa,22/07/2022,
Wan Chai,Wah Fat Mansion,22/07/2022,
Wan Chai,Lily Court,22/07/2022,
Wan Chai,Wesleyan House,22/07/2022,
Wan Chai,Champion Court,22/07/2022,
Wan Chai,Wealthy Mansion,22/07/2022,
Wan Chai,Cheung Hong Mansion,22/07/2022,
Wan Chai,Jones Hive,22/07/2022,
Wan Chai,Ventris Terrace,22/07/2022,
Wan Chai,Fly Dragon Terrace,22/07/2022,
Wan Chai,The Morrison,22/07/2022,
Wan Chai,"Block 1, Phoenix Court",22/07/2022,
Wan Chai,Fung Fai Court,22/07/2022,
Wan Chai,"Tower 1, Dragon Centre",22/07/2022,
Wan Chai,"Tower 2, Dragon Centre",22/07/2022,
Wan Chai,Mori Mori Serviced Apartments,21/07/2022,
Wan Chai,Southorn Garden,21/07/2022,
Wan Chai,Pak Tak Building,21/07/2022,
Wan Chai,Newman House,21/07/2022,
Wan Chai,Caroline Garden,21/07/2022,
Wan Chai,18 Matheson Street,21/07/2022,
Wan Chai,"Block A, Greenville Gardens",21/07/2022,
Wan Chai,Chin Hung Building,21/07/2022,
Wan Chai,58 Village Road,21/07/2022,
Wan Chai,Fasteem Mansion,21/07/2022,
Wan Chai,Valiant Court,21/07/2022,
Wan Chai,76 Morrison Hill Road,21/07/2022,
Wan Chai,"Block A, Man On House",21/07/2022,
Wan Chai,Cheong Shing Mansion,21/07/2022,
Wan Chai,King Kwong Mansion,21/07/2022,
Wan Chai,Moonful Court,21/07/2022,
Wan Chai,Merlin Garden,21/07/2022,
Wan Chai,Suncrest Tower,21/07/2022,
Wan Chai,"Block B, Villa Rocha",21/07/2022,
Wan Chai,"Block C, Villa Lotto",21/07/2022,
Wan Chai,"Block B, Wing Tak Mansion",21/07/2022,
Wan Chai,Wing Fai Building,21/07/2022,
Wan Chai,The Warren,21/07/2022,
Wan Chai,15 Dragon Road,21/07/2022,
Wan Chai,Leigyinn Building,21/07/2022,
Wan Chai,"Tower 3, The Leighton Hill",21/07/2022,
Wan Chai,"Tower 8, The Leighton Hill",21/07/2022,
Wan Chai,Lap Hing Building,21/07/2022,
Wan Chai,"Block 2, Victoria Centre",21/07/2022,
Wan Chai,Victoria Court,21/07/2022,
Wan Chai,Chi King Court,21/07/2022,
Wan Chai,Hamilton Mansion,21/07/2022,
Wan Chai,Johnston Court,21/07/2022,
Wan Chai,Wah Tao Building,21/07/2022,
Wan Chai,Celeste Court,21/07/2022,
Wan Chai,"Friendship Court, 12 Blue Pool Road",21/07/2022,
Wan Chai,"Green Villa, 155 Blue Pool Road",21/07/2022,
Wan Chai,Gold Jade Mansion,21/07/2022,
Wan Chai,"Block B, Dragon Court, 6 Dragon Terrace",21/07/2022,
Wan Chai,Hong Kong Mansion,21/07/2022,
Wan Chai,United Mansion,21/07/2022,
Wan Chai,York Place,20/07/2022,
Wan Chai,Kar Yau Building,20/07/2022,
Wan Chai,One Wanchai,20/07/2022,
Wan Chai,1 Tai Hang Road,20/07/2022,
Wan Chai,"Block 2, The Zenith",20/07/2022,
Wan Chai,Yee Wah Mansion,20/07/2022,
Wan Chai,Mandarin Villa,20/07/2022,
Wan Chai,59-63 Wan Chai Road,20/07/2022,
Wan Chai,"Block J, 111 Mount Butler Road",20/07/2022,
Wan Chai,Fat Cheong Building,20/07/2022,
Wan Chai,Pak Lee Building,20/07/2022,
Wan Chai,"Friendship Court, 12-22 Blue Pool Road",20/07/2022,
Wan Chai,1 Lan Fong Road,20/07/2022,
Wan Chai,Phoenix Apartments,20/07/2022,
Wan Chai,King Tao Building,19/07/2022,
Wan Chai,"Tower C, Elizabeth House",19/07/2022,
Wan Chai,"Block 2, Illumination Terrace",19/07/2022,
Wan Chai,Hoc Tam Garden,19/07/2022,
Wan Chai,Hang Tak Building,19/07/2022,
Wan Chai,Grandview Tower,19/07/2022,
Wan Chai,8 Shing Ping Street,19/07/2022,
Wan Chai,Lok Moon Mansion,19/07/2022,
Wan Chai,Thai Wah Building,19/07/2022,
Wan Chai,"Block B, Paterson Building",19/07/2022,
Wan Chai,Lai Yee Building,19/07/2022,
Wan Chai,Sau Wa Court,19/07/2022,
Wan Chai,Palm Court,19/07/2022,
Wan Chai,Wah Ying Building,19/07/2022,
Wan Chai,"Tower 1, Sherwood Court",19/07/2022,
Wan Chai,"Block B, Park Place",19/07/2022,
Wan Chai,320-330 Lockhart Road,19/07/2022,
Wan Chai,"Block 5, Phoenix Court",19/07/2022,
